,last_update,pub_key,alias,addresses,color,num_channels,total_capacity
16161,1550859305.0,03e12ca51df55d6e4ce80d300250bd15bef92db0c1a46ae0e6b111587f471fa713,03e12ca51df55d6e4ce8,"[{'network': 'tcp', 'addr': '40.89.157.91:9735'}]",#3399ff,1,0.0002
16162,1667422863.0,03e1300ab277e15b05adb22f49014e4370196ec8b0220a552dc3838956c10846dd,freehodl,"[{'network': 'tcp', 'addr': 'cn4zwl5zk3hklkqqmbh2l5cqhbo4nuugi3fdu3dehuccohpy6yo6xxyd.onion:9735'}]",#3399ff,1,0.003
16163,1632811610.0,03e141edf04c1b706c09f2ede1fcb45894902edc9c33bdf4781cf180327972c1d5,03e141edf04c1b706c09,"[{'network': 'tcp', 'addr': 'rgh7l4v4bfmylw3mz7w3xcqn5bipzbxn3qpdivijsduleavemduq3qyd.onion:9735'}]",#3399ff,1,0.001
16164,1667172232.0,03e14450218824b1d7d3f7d2cb454377fcd7b02f21374058f56c89d8150db0782a,LOFASNODE,"[{'network': 'tcp', 'addr': 'vkk624t7g3ljc3rmgx3g3fxiplcekozcy6dt5kayrl4hyfwxk6jdzrad.onion:9735'}]",#3399ff,2,0.016
16165,1553774090.0,03e1459a2b54c119f76aa85be2e5851c4d20363a890b443885d24c88592ca77069,LunatiBase,[],#4a4a4a,1,0.0005
16166,0.0,03e1473327b820a88ba6c35f158ef82953ae356e0b3f7ffecf2c88455a52ebf7c1,,[],#000000,1,0.00061575
16167,1667211486.0,03e14d5461cee35400d731aebe07909c01ca44d5d899b36591ccf45e9ac82b915a,Ferdinand,"[{'network': 'tcp', 'addr': '3eyabbz2lubi3p6c6j3x5nvo4e5cbrcyhbapiyhtulrtbvnosarl72id.onion:9736'}]",#03e14d,16,0.43936626
16168,1577146851.0,03e15b57b84979a9771d73a2cd49c9588f46d5131ee30637e3d653f01e945f003e,03e15b57b84979a9771d,"[{'network': 'tcp', 'addr': '52.76.152.228:9735'}]",#3399ff,3,0.02840574
16169,1667454759.0,03e1610fb165bbe702bcc862a6e299a967bf153e642d305267f6fdaf14c971c03d,JustHoldingOn,"[{'network': 'tcp', 'addr': 'bd3hmiydmjai6lkhskaqhjsh3kqic45hfuq47cm67u3wesqoucwke4ad.onion:9735'}]",#ff5000,1,0.005
16170,1667419177.0,03e16422ad18df6195859587b54c3acee0c8b975a25cdc00fe334fc33d3e96b995,03e16422ad18df619585,"[{'network': 'tcp', 'addr': 'dlbtpmgf6a37lut5vek2db3egiozjikz47c5rjmrovkdx3wbvpfje2ad.onion:9735'}]",#3399ff,1,0.01
16171,1660490939.0,03e16576ca415e4f6703e65b10c0763f91ac33911d9894ef2f579a3ebf41b06490,jjcapital_mynode,"[{'network': 'tcp', 'addr': 't42s57o2peii6h35fb4xthntodkco376b2ao7snnavbrozvc7raqqoad.onion:9735'}]",#68f442,1,0.001
16172,1648835490.0,03e1721212078d3185dfea68cfa2f7b86630c9f7d3cdb9ea579e0750ce31b86116,03e1721212078d3185df,"[{'network': 'tcp', 'addr': '34.206.244.138:9735'}, {'network': 'tcp', 'addr': 'u3jeh3egt3yemovmuppr2iwa26zbnfkiji3gluj7l5xhphxilvlnk7qd.onion:9735'}]",#3399ff,1,0.001
16173,1667413438.0,03e1787e3533408184671ee5a4db1a1c00d4be33b81008014489eb2e33d2646c08,03e1787e353340818467,"[{'network': 'tcp', 'addr': 'tjmrhryoriztp3eguiok2a62alqiptf7lwvhpzp2atmz5u7nqe6eyaid.onion:9735'}]",#3399ff,15,0.5607
