,total_nodes,total_channels,total_capacity,date,avg_channel_size,avg_node_capacity,median_channel_size,capacity_USD
52,17370.0,81833.0,5127.23545684,2022-10-27,0.0626548636471839,0.2951776313667242,0.015,106527340.55025502
53,17244.0,81409.0,5161.96415204,2022-10-28,0.0634077823341399,0.2993484198585015,0.015,104763507.81561436
54,17212.0,80658.0,5134.11905959,2022-10-29,0.0636529427904237,0.2982871868225656,0.015,105762287.87445743
55,17181.0,80060.0,5100.33576005,2022-10-30,0.0637064171877342,0.2968590745620162,0.015,106189959.5880354
56,17167.0,80170.0,5129.73965005,2022-10-31,0.0639857758519396,0.2988139832265393,0.015,105829863.31130403
57,17164.0,80221.0,5134.80954722,2022-11-01,0.0640082964213859,0.2991615909589839,0.015,105225392.73497868
58,17151.0,80000.0,5150.88433152,2022-11-02,0.064386054144,0.3003255980129438,0.015,105491501.84829912
59,17138.0,79777.0,5136.99146328,2022-11-03,0.0643918856723115,0.2997427624740343,0.015,103512073.1922749
60,17132.0,79663.0,5133.22151361,2022-11-04,0.0644367085549125,0.2996276858282746,0.015,103732089.01481576
61,17122.0,79562.0,5134.72388927,2022-11-05,0.0645373908306729,0.2998904268934704,0.015,108602491.09239404
62,17117.0,79566.0,5166.33239391,2022-11-06,0.064931407811251,0.3018246418128176,0.015,110050991.13214144
63,17118.0,79498.0,5174.08995854,2022-11-07,0.0650845299069159,0.3022601915258792,0.015,108193273.74614696
64,17121.0,79580.0,5188.26176636,2022-11-08,0.0651955487102287,0.3030349726277671,0.015,106845661.98574091
65,17092.0,79339.0,5157.14736681,2022-11-09,0.0650014162871979,0.3017287249479288,0.015,95637750.7732814
66,17082.0,79277.0,5138.53259978,2022-11-10,0.0648174451578642,0.3008156304753542,0.015,81291688.4991716
67,17041.0,79278.0,5120.92611551,2022-11-11,0.0645945421871137,0.3005061977295933,0.015,89921772.68273748
68,17025.0,79301.0,5134.27137212,2022-11-12,0.0647440936699411,0.3015724741333333,0.015,87322249.90103278
69,17030.0,79346.0,5145.33384182,2022-11-13,0.0648467955765886,0.3021335197780387,0.015,86307315.3293045
70,17027.0,79255.0,5138.16326294,2022-11-14,0.0648307774012996,0.3017656230069889,0.015,83790443.26549616
71,16863.0,78766.0,5132.67588321,2022-11-15,0.0651635970242236,0.304375015312222,0.015,85161563.56125566
72,16850.0,78555.0,5100.77320348,2022-11-16,0.0649325084778817,0.3027165105922849,0.015,86096665.00978741
73,16820.0,78419.0,5103.31946663,2022-11-17,0.0650775891892271,0.3034078160897741,0.015,84960317.64642957
74,16800.0,78409.0,5116.40008132,2022-11-18,0.065252714373605,0.3045476238880952,0.0152,85342627.80043468
75,16756.0,78182.0,5147.321573,2022-11-19,0.0658376809623698,0.3071927412867032,0.01565415,85846771.82841536
76,16754.0,77906.0,5126.41810461,2022-11-20,0.0658026096142787,0.3059817419487883,0.015025625,85527724.26024395
77,16742.0,77718.0,5035.91377431,2022-11-21,0.0647972641384235,0.3007952320099152,0.015,81851728.12212501
78,16732.0,77710.0,5060.43491224,2022-11-22,0.0651194815627332,0.3024405278651685,0.015001,79753415.69953573
79,16730.0,77826.0,5071.81943488,2022-11-23,0.0651687024243826,0.3031571688511655,0.0155,82154599.16104496
80,16699.0,77685.0,5074.0211901,2022-11-24,0.0653153271558215,0.3038517989161027,0.01575817,84182984.0845253
81,16699.0,77735.0,5085.36825908,2022-11-25,0.0654192867959091,0.3045313048134618,0.016,84358427.95101821
82,16694.0,77751.0,5091.78839964,2022-11-26,0.0654883975722498,0.305007092346951,0.016,84056923.191429
83,16688.0,77963.0,5130.53827372,2022-11-27,0.0658073480204712,0.3074387747914669,0.01690622,84405204.32625279
84,16693.0,78089.0,5142.62965162,2022-11-28,0.0658560059882954,0.3080710268747379,0.017,84446452.9673973
85,16678.0,77958.0,5116.74570352,2022-11-30,0.0656346456235408,0.3067961208490226,0.017,84077290.8836429
86,16634.0,77677.0,5088.04405553,2022-12-01,0.0655025819165261,0.3058821723896838,0.017,87322792.89642529
87,16642.0,77698.0,5086.38688412,2022-12-02,0.0654635496939432,0.3056355536666266,0.017,86359931.8061952
88,16647.0,77683.0,5072.67864345,2022-12-03,0.0652997263680599,0.304720288547486,0.01697572,86714854.3436696
89,16648.0,77559.0,5054.54700273,2022-12-04,0.0651703477704715,0.3036128665743632,0.01641666,85362756.6916751
90,16624.0,77440.0,5068.59071087,2022-12-05,0.0654518428573088,0.3048959763516602,0.017,86732507.78263682
91,16629.0,77384.0,5081.71064614,2022-12-06,0.0656687512423756,0.3055932795802513,0.0175,86220571.459354
92,16620.0,77365.0,5090.94127226,2022-12-07,0.06580419145944548,0.3063141559723225,0.0175079,86986469.86729594
